Date,Mileage,"Fill (1-yes,0-no)","Octane(1-reg,2-+,3-prem)",Gallons,Dollars,Driver,"Snow Tires (0-no,1-yes)","Ethanol (0-no,1-yes)",Car Make,Car Model,Car Year,Engine Size (L),Engine Cyl,"Engine Config (1-I, 2-V)","Hybrid (0-no, 1-yes)"
1/8/2012,44569,1,1,11.3,36.6,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
1/8/2012,44744,1,1,5.716,18.8,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
1/17/2012,45057,1,3,11.117,40.01,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
1/31/2012,45380,1,1,11.243,39,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/14/2012,45728,1,1,12.809,45.46,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/16/2012,45852,0,1,4,14.2,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/17/2012,46021,1,1,6.099,20.91,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/20/2012,46365,0,1,11.022,40.77,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/20/2012,46613,1,1,8.601,29.66,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/1/2012,46948,1,3,12.68,48.93,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/5/2012,47313,0,1,11.71,44.02,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/6/2012,47663,0,1,6.363,23.73,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/8/2012,47763,1,1,8.112,30.01,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/25/2012,48123,0,1,6.445,25,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/5/2012,48306,1,1,13.616,52.82,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/19/2012,48638,1,1,10.71,41.01,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/2/2012,48973,0,1,9.976,38.1,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/5/2012,49131,1,1,7.868,29.5,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/6/2012,49427,1,1,9.001,32.84,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/11/2012,49757,0,1,10.001,35.39,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/15/2012,50076,1,1,11.543,41.54,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/15/2012,50324,1,1,8.684,29,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/3/2012,50626,1,1,9.58,32,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/25/2012,50797,1,1,5.53,19.35,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/16/2012,51177,1,1,12.647,44.5,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/18/2012,51319,0,1,4,14.24,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/19/2012,51553,1,1,8.007,29.55,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/1/2012,51906,0,1,11.722,45,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/14/2012,52192,1,1,12.438,48,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/8/2012,52522,1,1,11.769,43.53,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/22/2012,52822,1,1,11.114,40,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/24/2012,52879,1,1,2.001,6.54,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/8/2012,53201,1,1,12.425,40,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/10/2012,53556,1,1,12,37.31,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/10/2012,53874,1,3,9.108,30.78,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/24/2012,54584,1,1,13.002,43.41,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/25/2012,54858,1,1,8.529,26.77,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/15/2012,55164,1,1,12.538,41.36,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/18/2012,55383,1,3,8.401,28.55,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/21/2012,55690,0,3,4.102,14.8,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/26/2012,55860,1,1,12.003,39.6,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/31/2012,56182,1,1,10.058,31.37,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
1/14/2013,56476,1,1,10.647,35.76,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/8/2013,56766,1,1,13,46.01,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/17/2013,57081,0,1,5.75,20,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/17/2013,57159,1,1,9.682,34.46,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/13/2013,57508,1,1,11.89,43.87,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/13/2013,57831,1,1,12.151,44.95,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/22/2013,58184,1,1,12.884,47.4,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/24/2013,58557,1,3,12.577,46.77,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/26/2013,58893,1,1,9.974,36.94,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/29/2013,59145,1,1,12.185,41.29,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/8/2013,59446,1,3,10.78,39.57,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/8/2013,59512,1,1,2.382,8,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/9/2013,59753,1,1,8.382,28.32,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/10/2013,60026,1,1,7.472,24.65,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/16/2013,60245,1,1,8.055,27.38,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/17/2013,60595,1,1,11.866,38.55,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/25/2013,60959,1,1,12.428,40.5,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/27/2013,61321,1,1,12.058,39.3,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/1/2013,61710,1,1,12.001,38.87,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/3/2013,62063,1,1,12.31,39.38,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/11/2013,62423,1,1,11.601,37.11,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/14/2013,62771,1,1,10.645,37.24,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/16/2013,63061,0,1,7.437,25.72,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/20/2013,63388,1,1,12.458,40.97,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/3/2013,63577,1,1,62.52,20,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/4/2013,63966,1,3,13.092,50,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/7/2013,64022,0,1,1.66,5.81,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/8/2013,64414,1,1,12.556,40.17,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/14/2013,64552,1,1,4.682,15.4,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/3/2013,64945,1,1,12.98,43.99,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/10/2013,65354,1,1,12.641,43.6,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/11/2013,65724,1,3,11.22,48.35,Andy,0,0,Volkswagen,Jetta,2007,2.5,5,1,0
8/17/2013,65995,1,1,8.107,27.23,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/18/2013,66334,0,1,9.275,31.53,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/18/2013,66533,1,1,9,30.23,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/24/2013,66724,1,1,5.925,19.9,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/24/2013,66945,0,1,6.678,21.7,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/29/2013,67256,1,1,13.517,48.38,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/12/2013,67571,1,1,11.923,38.62,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/14/2013,67929,1,1,11.571,39.33,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/14/2013,68125,1,1,6.002,19.56,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/28/2013,68468,1,1,12.807,44.3,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/5/2013,68821,1,1,13.239,45,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/11/2013,69157,1,1,12.201,38.54,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/13/2013,69518,1,1,11.048,37,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/14/2013,69820,1,1,11.46,34.37,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/15/2013,70167,1,1,13.311,44.58,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/15/2013,70518,1,1,13.593,40.49,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/16/2013,70695,1,1,7.371,21.22,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/14/2013,70994,0,1,5,16.5,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/19/2013,71154,1,1,14.292,43.86,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/20/2013,71440,1,1,9.617,32.3,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/27/2013,71804,1,1,11.302,40,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/29/2013,72138,1,1,11.275,34.26,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
1/2/2014,72474,1,1,12.205,41,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
